Title	Content	Publish Date	Sentiment
"Bad Bunny Chats, Victoria Monét Performs “On My Mama” on Fallon: Watch"	Last nights episode of The Tonight Show Starring Jimmy Fallon included a sit-down interview with Bad Bunny and a performance of On My Mama from Victoria Monét. Bad Bunny sat down for an interview wit… [+426 chars]	2023-10-20T14:32:26Z	-
Taylor Swift Shows Up Again for Travis Kelce's Game in Kansas City	"Taylor Swift might just be Travis Kelce's good luck charm -- especially when his team's playing at home, which they are today ... and which TayTay is on hand for yet again.
The singer is in Arrowhea… [+1743 chars]"	2023-10-22T20:56:06Z	-
Four New Colorways of the New Balance 1906s	"Web Accessibility Statement
Titelmedia (Highsnobiety), is committed to facilitating and improving the accessibility and usability of its Website, www.highsnobiety.com. Titelmedia strives to ensure t… [+1179 chars]"	2023-10-24T16:10:15Z	-
"Taylor Swift Is #1 at Box Office, but ‘Killers of the Flower Moon’ Sells More Tickets"	"“Taylor Swift: The Eras Tour” (AMC) and “Killers of the Flower Moon” (Paramount) grossed a combined $54 million for the weekend. Of this weekend’s $83 million domestic box office total, 65 percent ca… [+7794 chars]"	2023-10-22T18:00:00Z	N
Taylor Swift takes in Chargers-Chiefs at Arrowhead in Week 7	"Taylor Swift appearances at Arrowhead Stadium will never go out of style. The songstress is in attendance to watch Travis Kelce and the Kansas City Chiefs take on the Los Angeles Chargers.
Swift too… [+961 chars]"	2023-10-22T20:56:44Z	P
Travis Kelce Flexed His Sneakerhead Credentials in Ultra-Rare Nike Dunks	As Taylor Swift continues to charge along into her Travis Kelce eraonce again showing up to cheer on Kansas City and even celebrate with Brittany Mahomes on Sunday nightKelce himself has continued to… [+1879 chars]	2023-10-23T14:19:22Z	-
Taylor Swift’s “Cruel Summer” Hits No. 1 In “Deep Fall” Four Years After Release Of ‘Lover’ Album	"Taylor Swift continues to defy the rules in the music industry alongside the Swifties as “Cruel Summer” from her Lover album hits the top spot on the Billboard Hot 100 chart.
The song was originally… [+1558 chars]"	2023-10-24T00:19:21Z	P
Travis Kelce Delivers Inspiring Halftime Speech About What Sex With Taylor Swift Like	"KANSAS CITY, MOIn an effort to rally his teammates, Kansas City Chiefs tight end Travis Kelce reportedly delivered an inspiring halftime speech Sunday about what sex with Taylor Swift was like. We we… [+786 chars]"	2023-10-23T10:00:00Z	-
13 Lessons On Self-Advocacy From Taylor Swift’s Career	"In past interviews, Taylor Swift has spoken about pitching herself to record labels when she was ... [+] only 11 years old. (Photo by Amy Sussman/Getty Images)
Getty Images
When it comes to advocat… [+21816 chars]"	2023-10-25T14:15:03Z	P
Taylor Swift May Be Good for Mental Health Per New Research	"Its been a rough few years that weve all gone through together. But now, even non-Swifties get a break, a chance to Shake It Off: the romance of an NFL player and a pop star. He looks at her adoringl… [+5269 chars]"	2023-10-24T13:02:07Z	P
"Christopher Nolan Is A Big Fan Of Taylor Swift – Her Distribution Tactics, That Is"	"Christopher Nolan is a huge fan of theatrical releases and Taylor Swift‘s business model for her film, The Eras Tour.
Nolan engaged in a discussion with fellow filmmaker Emma Thomas and Pulitzer Pri… [+964 chars]"	2023-10-20T02:40:39Z	P
"‘Taylor Swift: Eras Tour’ Returns Thursday With Near $6M, ‘Killers Of The Flower Moon’ Previews $2.6M"	"The AMC distributed Taylor Swift: The Eras Tourreturned yesterday, Thursday, at around noon after a three day pause, pulling in $5.9M per industry estimates. This takes the running total of the Sam W… [+3810 chars]"	2023-10-20T15:09:45Z	-
Taylor Swift Ties Janet Jackson For The Fifth-Most No. 1 Hits In Hot 100 History	"LAS VEGAS, NEVADA - MARCH 24: EDITORIAL USE ONLY. NO BOOK COVERS. Taylor Swift performs onstage ... [+] during the ""Taylor Swift | The Eras Tour"" at Allegiant Stadium on March 24, 2023 in Las Vegas, … [+2726 chars]"	2023-10-23T20:18:52Z	P
Concert Tour Films Are Having A Moment	"Screenwriter Jim Gibson admits that back when he was 15 years old he was a little bit of a music snob. In December 1983, he was obsessed with the Talking Heads, but he missed out on getting tickets t… [+16868 chars]"	2023-10-20T13:19:16Z	P
‘Five Nights At Freddy’s’ To Jumpstart Sleepy Autumn Box Office With $50M+ Debut Despite Peacock Day & Date – Box Office Preview	"No one knew how big this was going to be, or is going to be but Universal/Blumhouse’s feature take on beloved horror videogame, Five Nights at Freddy‘s is eyeing a $50M+ start possibly even more. At … [+3471 chars]"	2023-10-24T20:05:51Z	-
Taylor Swift Songs As Personality Types	"Known for her evocative lyrics and indelible tunes, Taylor Swift holds a mirror to the myriad emotions that define the human experience. A deep dive into her musical discography hints at a tapestry o… [+1973 chars]"	2023-10-20T12:15:37Z	P
"In a world of infinite AI, the new luxury item will be humans"	"Residents enjoy a carnival parade on February 6, 2005 in Viareggio, Italy.Marco Di Lauro/Getty Images
<ul><li>Modern factories, supply chains and Amazon has turned 'stuff' into a commodity. </li><li… [+9520 chars]"	2023-10-25T09:00:02Z	N
"Taylor Swift commands a huge fan base — and for some, it borders on spiritual"	"When Francesca Grupposo is faced with a tough decision, she asks a question: What would Taylor Swift do?
""You either go with what your mind is saying or you go with what your heart is saying,"" the 2… [+6029 chars]"	2023-10-22T08:00:00Z	N
Taylor Swift’s Exes Featured in Films at Milwaukee Movie Theater as ‘True Counterprogramming’ to ‘The Eras Tour’	"As Taylor Swift: The Eras Tour continues to dominate the box office, one three-screen arthouse movie theater in Milwaukee will also show films starring several of Taylor Swifts past boyfriends.Cara O… [+321 chars]"	2023-10-20T19:44:11Z	-
Why Drew Barrymore’s Dating Lesson From Taylor Swift Hits Different	"Drew Barrymore is ready for her next love story.
While the Never Been Kissed star has been ""happily"" single for seven years following her split with husband Will Kopelman, she shared how Taylor Swif… [+667 chars]"	2023-10-23T21:33:08Z	P
Taylor Swift & Travis Kelce's Date Nights Continue in Kansas City	"With one win already in the books
Taylor Swift and Travis Kelce brought their weekend to the end zone once again with the perfect date night. After enjoying time in the city that never sleeps earlie… [+1007 chars]"	2023-10-24T15:22:10Z	-
Taylor Swift’s ‘1989’ Is About To Hit The Billboard 200’s Top 10 For A Third Time	"SHANGHAI, CHINA - NOVEMBER 10: Taylor Swift performs live on stage during the 1989 World Tour Live ... [+] at Mercedes-Benz Arena on November 10, 2015 in Shanghai, China. (Photo by Hugo Hu/LP5/Getty … [+1989 chars]"	2023-10-22T13:00:00Z	P
"Gerard Piqué Falls Off the Stage at Event, Shakira Fans Call It Karma"	Shakira's stage presence clearly didn't rub off on Gerard Piqué during their relationship ... 'cause the soccer star took a nasty fall off a platform Tuesday night -- and the singer's fans are dubbin… [+1202 chars]	2023-10-25T17:53:47Z	-
Christopher Nolan Impressed By Taylor Swift’s Eras Movie Distribution Strategy	"During a recent appearance at the CUNY Graduate Center, Oppenheimer director Christopher Nolan addressed the impact of Taylor Swifts The Eras Tour concert movie. He praised the global pop star for he… [+2071 chars]"	2023-10-20T14:36:44Z	P
Lead Like Taylor Swift: 5 Top Secrets Of Her Superstar Success	"Taylor Swift at the 2022 Toronto International Film Festival (Photo by Amy Sussman/Getty Images)
Getty Images
Taylor Swift is a global phenomenon, the likes we havent seen since the height of Beatl… [+9878 chars]"	2023-10-22T19:45:53Z	P
"""Taylor Swift Is About To Show The Studios"": Christopher Nolan Praises Singer's Eras Tour Movie Rollout"	Taylor Swift earns high praise from filmmaker Christopher Nolan for the distribution method she utilized for her concert film Taylor Swift: The Eras Tour. Swift caused a stir on August 31 when she un… [+3104 chars]	2023-10-20T03:11:03Z	P
Taylor Swift’s ‘Cruel Summer’ Hits No. 1 after Four Years	"Four years ago, Taylor Swift included the song Cruel Summer on her album Lover. It became a fan favorite, and had been in line to be released as a single in 2020, before the Covid-19 pandemic changed… [+250 chars]"	2023-10-23T17:58:09Z	P
Travis Kelce Hints at True Timeline of Taylor Swift Romance	"No. 6: He's Family-OrientedLike Taylor, who is close with her parents, particularly her mother Andrea, Travis hails from a tight-knit fam, including his parents Ed and Donna Kelce.
Donna became a be… [+1171 chars]"	2023-10-20T21:57:00Z	P
Taylor Swift Ties Miley Cyrus And Mariah Carey As ‘Cruel Summer’ Rules Pop Radio	"NEWARK, NEW JERSEY - AUGUST 26: Taylor Swift attends the 2019 MTV Video Music Awards at Prudential ... [+] Center on August 26, 2019 in Newark, New Jersey. (Photo by Jamie McCarthy/Getty Images for M… [+2723 chars]"	2023-10-23T14:00:00Z    P	
Taylor Swift and Short-Term Rentals: It’s a Love Story	"Taylor Swifts Eras Tour made headlines even before it began by overwhelming booking platform Ticketmaster and drawing attention even from the U.S. Senate. 
The money and impact on travel was a big s… [+3489 chars]"	2023-10-25T18:11:00Z	P
Five Nights At Freddy's Is Poised To Become The Next Big Horror Sensation At The Box Office	"The fall season has, thus far, been ruled by ""Taylor Swift: The Eras Tour,"" which recently posted a gigantic $92.8 million opening weekend domestically. That is far and away the current high watermar… [+1523 chars]"	2023-10-20T22:00:23Z	P
Taylor Swift Will Tie Justin Timberlake And Ariana Grande At The Grammys This Year	"TOPSHOT - Taylor Swift poses in the press room at the The 58th GRAMMY Awards at Staples Center on ... [+] February 15, 2016 in Los Angeles, California. AFP PHOTO/MARK RALSTON / AFP PHOTO / MARK RALST… [+2893 chars]"	2023-10-24T13:00:00Z	-
Fan steals ‘Taylor Swift: The Eras Tour’ poster from mall; his getaway video is doing rounds on internet	The deep devotion of fans towards pop star Taylor Swift does not need any special mention. While Swifties brought their dance moves and friendship bracelets to multiplexes across the United States du… [+1312 chars]	2023-10-20T11:06:26Z	N
Killers Of The Flower Moon can't beat The Eras Tour at the weekend box office	"Surprising probably no one, The Eras Tourmovie has won the weekend at the domestic box office again, adding another $31 million to a total thats now over $100 million after two weeks, but its actuall… [+1693 chars]"	2023-10-22T20:55:00Z	P
Check Out the New Members of Taylor Swift's Squad	"Yep, James, Inez and Betty's parents are still very much on Swift's team, the trio becoming close after the singer befriended the Gossip Girl alum in 2015.
In fact, she's so tight with the power cou… [+1288 chars]"	2023-10-22T14:00:00Z	-
Corey Taylor: Slipknot Members Are “Not Rich” and Are “Never Gonna See Taylor Swift Money”	"Corey Taylor discussed the financial status of Slipknot’s members in a new interview, and considering the band is one of the most popular metal acts in the world, his comments were a bit surprising.
… [+2489 chars]"	2023-10-24T17:34:38Z	N
"Elon Musk May Have Given Up On Privacy For His Jet Travels, But Taylor Swift Hasn’t"	"Forbes got an exclusive look at the celebrities and billionaires whove used a federal program to hide their private-plane flights. Heres why its not working.
When he bought Twitter in October 2022, … [+8989 chars]"	2023-10-25T10:30:00Z	N
Who Does Taylor Swift Need To Beat For ‘Cruel Summer’ To Hit No. 1?	"PARK CITY, UT - JANUARY 23: Singer Taylor Swift is seen on Main Street during the Sundance Film ... [+] Festival on January 23, 2020 in Park City, Utah. (Photo by Mat Hayward/GC Images)
GC Images
I… [+2575 chars]"	2023-10-20T12:30:00Z	-
How Taylor Swift Turned Herself Into a Victoria’s Secret Model	"To honor Taylor Swifts latest rerecording, were celebrating1989 (Taylors Version) Weekat The Daily Beasts Obsessed. That means were throwing it back to 2014, to re-live everything that Taylorand the … [+6586 chars]"	2023-10-24T08:45:07Z	P
"You Need to See These Pics of Taylor Swift, Selena Gomez & Zoë Kravitz"	"No better way to fill a blank space in your calendar than a night out with the squad.
That's exactly what Taylor Swift,Selena Gomez, Zoë Kravitz and Keleigh Sperry Teller did when they enjoyed a gor… [+862 chars]"	2023-10-20T16:29:03Z	-
"Why Jason Kelce Has ""Alarms"" About Travis Kelce Dating Taylor Swift"	"Jason Kelce can see that everything has changed since Travis Kelce started dating Taylor Swift.
While the Philadelphia Eagles center is thrilled for his younger brother amid his relationship with th… [+876 chars]"	2023-10-24T02:54:05Z	N
"Panic Ensues at AMC Theater Amid Fire Alarm, Scorsese There for 'KOTFM'"	"An AMC Theater in L.A. erupted into panic and confusion during an apparent emergency over the weekend -- a frenzied scene which might've actually affected one Martin Scorsese.
This all went down Sat… [+1775 chars]"	2023-10-22T20:29:12Z	-
Taylor Swift spotted at Chiefs-Chargers game at Arrowhead Stadium	"The Swift train has touched down in Arrowhead. 
Taylor Swift is at the Chiefs home stadium for their much-anticipated divisional matchup against the Chargers. The 12-time Grammy award-winning artist… [+1461 chars]"	2023-10-22T21:19:46Z	-
Travis Kelce reveals the Taylor Swift conversation that 'terrified' him	"The Travis Kelce-Taylor Swift love story does not appear to be stopping any time soon. The two appeared together for the ""Saturday Night Live"" after-party in New York over the weekend after making se… [+2723 chars]"	2023-10-20T00:30:34Z	-
Taylor Swift’s ‘Bad Blood’ Video Was Girlbossing at Its Pettiest	"To honor Taylor Swifts latest rerecording, were celebrating 1989 (Taylors Version) Week at The Daily Beasts Obsessed. That means were throwing it back to 2014, to relive everything that Taylorand the… [+6895 chars]"	2023-10-25T23:03:17Z	P
Bad Bunny Notches Third Consecutive Number One Album With ‘Nadie Sabe Lo Que Va a Pasar Mañana’	"Bad Bunny’s Nadie Sabe Lo Que Va a Pasar Mañanadethroned Drake and For All The Dogs to debut atop the Billboard 200 Albums chart, the publication announced on Sunday, marking the rapper’s third conse… [+1492 chars]"	2023-10-22T19:32:16Z    -	
Taylor Swift Reportedly Sets Concert Film Record As ‘Eras Tour’ Dominates Box Office For A Second Weekend	"Taylor Swift: The Eras Tour dominated in its second weekend in theaters, bringing in an estimated $31 million domestically, multipleoutlets reported, and becoming the first concert film in domestic h… [+3109 chars]"	2023-10-22T16:50:28Z	P
Here’s How ‘Cruel Summer’—Taylor Swift’s Four-Year-Old Song—Finally Went No. 1	"Fans have long lamented that Cruel Summer, the upbeat, fan-favorite track from Taylor Swifts 2019 album Lover, should have been promoted as a single upon releaseand now theyve belatedly gotten their … [+4995 chars]"	2023-10-23T17:52:43Z	-
Taylor Swift Joins Elite Musical Company with 10th No. 1 Single	"Taylor Swift has joined elite company by achieving her 10th No. 1 single, and it’s all thanks to a song originally released four years ago.
“Cruel Summer” tops this week’s Billboard Hot 100. The son… [+1254 chars]"	2023-10-23T18:09:35Z	P
You'll Need to Calm Down After Taylor Swift and Travis Kelce’s Kiss	"There should be no more blank spaces about where these two stand.
Taylor Swift proved she is Travis Kelce's cheer captain as she supported the Kansas City Chiefs tight end at his Oct. 22 game agains… [+1102 chars]"	2023-10-23T19:34:28Z	-
"Taylor Swift Effect: Chiefs 5-0, 4-1 ATS since star began attending Travis Kelce games"	"Sharp bettors will tell you, rightly so, that you shouldn't base your wagers on trends. There's always regression to the mean, and the pendulum swing can sometimes be significant. 
Just ask all thos… [+3029 chars]"	2023-10-24T17:21:43Z	P
"Taylor Swift Cheers on Travis Kelce, Wears Her Heart on Her Sleeve"	"The pop star watched the game with her new friend Brittany Mahomes, wife of the team's star quarterback Patrick Mahomes, who was accompanied by the couple's children, daughter Sterling, 2, and son Br… [+725 chars]"	2023-10-22T21:58:31Z	-
"Why Travis Kelce’s Dad Says Taylor Swift Didn’t Get the “Diva Memo"""	"Perhaps she charmed his dad with self-effacing jokes.
After Taylor Swift was spotted chatting with Travis Kelce's dad Ed Kelceduring the NFL star's Oct. 12 football game, the family patriarch shared… [+789 chars]"	2023-10-23T23:04:25Z	-
Taylor Swift & Brittany Mahomes Are the Real MVPs for Their Handshake	"Taylor Swiftand Brittany Mahomesknow how to be cheer captains all too well.
And the pair proved just that while cheering on Travis Kelce, Patrick Mahomes and the Kansas City Chiefs as they faced off… [+868 chars]"	2023-10-23T12:04:23Z	-
Shamir on the Hidden Gem of Charlotte Sometimes’ Sideways EP	"Listen via Apple Podcasts | Spotify | Google Podcasts | Amazon Podcasts | Pocket Casts | Radio Public | RSS
Shamir had Charlotte Sometimes’ Sideways EP on repeat throughout high school, and it’s nev… [+1578 chars]"	2023-10-25T17:26:04Z	-
The Latest On Taylor Swift And Travis Kelce's Potential Relationship	"The most notable news from our resident popstar BFF Taylor Swift (aside from her record-breaking Eras Tour movie, of course) is her most recent boyfriend update. Kansas City Chiefs player Travis Kelc… [+5100 chars]"	2023-10-23T21:37:00Z	P
Tuesday Things.	"1. We don’t have any appliances with clocks in our kitchen and I am losing my mind! I never know what time it is now.
2. Per the above, this is a nightmare for someone who is chronically early and h… [+611 chars]"	2023-10-24T10:30:32Z	-
Box Office Report: ‘The Nightmare Before Christmas’ Enjoys $4.1M Anniversary Weekend As ‘PAW Patrol’ Continues Its Mighty Run	"To mark the 30th anniversary of Henry Selicks The Nightmare Before Christmas over the weekend, Walt Disney Studios Motion Pictures re-released the film in U.S. cinemas, where it grossed an estimated … [+1264 chars]"	2023-10-23T13:06:27Z	-
New Taylor Swift Book Rises to No. 1 Bestseller on Amazon & It’s On Sale: Shop Here	"All products and services featured are independently chosen by editors. However, Billboard may receive a commission on orders placed through its retail links, and the retailer may receive certain aud… [+300 chars]"	2023-10-25T20:22:13Z	P
Taylor Swift Mystery: Why Is Her Glam Team So Secretive About The Star’s Makeup?	"From the moment The Eras Tour movie premiered on Oct. 11, savvy PR teams have kicked into overdrive, sending out dressing releases highlighting the head-to-toe elements of Taylor Swifts fashion choic… [+321 chars]"	2023-10-25T20:46:06Z	-
"AMC boosted by Taylor Swift and summer blockbusters, cinema foot-traffic data show"	"AMC Entertainment Holdings Inc. is enjoying a foot-traffic boost thanks to Taylor Swift: The Eras Tour and summer blockbusters Barbie and Oppenheimer, according to U.S. data from analytics company Pl… [+298 chars]"	2023-10-24T21:06:06Z	P
Taylor Swift Ties Janet Jackson For The Fifth-Most No. 1 Hits In Hot 100 History	"More than four years after it was initially released, Taylor Swift's song Cruel Summer has officially become the No. 1 track in America. This week, the tune bolts to the peak position on the Hot 100,… [+315 chars]"	2023-10-23T20:40:07Z	P
House's Taylor Swift and Travis Kelce-inspired Halloween display goes viral	One house has summoned the spirits of Taylor Swift and boyfriend Travis Kelce for a Halloween display that many online are holding up as the year's best so far.The subsequent post ended up going vira… [+296 chars]	2023-10-24T16:22:07Z	-
Saturday Night Live recap: Bad Bunny charms (with a little help from his celeb friends)	"The King of Latin Trap has entered the building. Bad Bunnya.k.a. Benito Martínez Ocasio, reggaetón phenom, Cassandro star, and current PR boyfriend of Kendall Jennerjoined an illustrious group this w… [+5970 chars]"	2023-10-22T14:48:00Z	I
"As Taylor Swift Attends 4th Chiefs Game, CBS Runs Travis Kelce’s Stats With Singer in Stands — Watch Video"	"Is CBS a full-fledged Swiftie?
The network got creative with their Taylor Swift coverage on Sunday as the Kansas City Chiefs faced off against the Los Angeles Chargers. After Travis Kelce scored a t… [+1542 chars]"	2023-10-22T22:49:21Z	-
Chiefs' Travis Kelce responds to Andy Reid's comments on the impact of Taylor Swift	"Kansas City Chiefs tight end Travis Kelce continues to solidify himself as one of the best to ever play his position in the NFL, and he has played especially well when Taylor Swift is in the house.
… [+1724 chars]"	2023-10-25T20:07:56Z	-
From Karlie Kloss to Katy Perry: The Defining Figures of Taylor Swift’s ‘1989’ Era	"To honor Taylor Swifts latest rerecording, were celebrating 1989 (Taylors Version) Week at The Daily Beasts Obsessed. Were throwing it back to 2014, the year 1989 was released, to refamiliarize ourse… [+9221 chars]"	2023-10-23T23:00:58Z	-
Travis Kelce's dad says he's impressed by Taylor Swift after meeting pop star	"It turns out Travis Kelce may have had nothing to fear after all when his father met his new rumored girlfriend, music superstar Taylor Swift.
The All-Pro Chiefs tight end joked with his brother, Ea… [+2685 chars]"	2023-10-24T19:39:28Z	P
Travis Kelce Reacts to Coach Andy Reid's Approval of Taylor Swift	"When it comes to Taylor Swift's NFL attendance, Andy Reid isn't ready to give her the sack. 
In fact, the Kansas City Chiefs' head coach thinks her being there is a total touchdown because, as it tu… [+942 chars]"	2023-10-25T16:17:13Z	P
"Taylor Swift keeps audiences in a lavender haze, bests 'Killers of the Flower Moon'"	"In its second weekend, Taylor Swift: The Eras Tour released through a direct distribution deal with AMC Theatres proved that Swifts star power was just too much for Paramount Pictures and Apples debu… [+3330 chars]"	2023-10-22T17:29:00Z	P
"Taylor Swift’s ‘Cruel Summer’ Hits No. 1 on Billboard Hot 100, Becoming Her 10th Leader"	"Taylor Swift joins the elite club of artists with 10 or more No. 1s on the Billboard Hot 100 songs chart, as Cruel Summer ascends to the summit, from No. 9, becoming her 10th leader. The song, which … [+319 chars]"	2023-10-23T17:52:09Z	P
From Lena Dunham to Pitbull: Taylor Swift’s Wonderfully Weird 1989 Tour Guests	"To honor Taylor Swifts latest rerecording, were celebrating1989 (Taylors Version) Weekat The Daily Beasts Obsessed. That means were throwing it back to 2014, to re-live everything that Taylorand the … [+4941 chars]"	2023-10-25T08:28:10Z	-
Is Taylor Swift good luck for Travis Kelce? Here's what he and the stats have to say	"Taylor Swift may not have put Travis Kelce on the map, but the pop superstar is having quite the effect on the Kansas City Chiefs tight ends on-field performance.
At least thats what was suggested b… [+3816 chars]"	2023-10-25T19:34:46Z	P
Kelly Clarkson says she did not 'bash' the Taylor Swift-Travis Kelce romance	"You all need to calm down, cause Kelly Clarkson says she did not take a swipe at Taylor Swift and Travis Kelces romance.
The Miss Independent singer took to Instagram to make it clear that she does … [+2278 chars]"	2023-10-23T18:37:53Z	-
Three Ways To Tap Into Taylor Swift’s Authenticity And Build An Eras-Like Workplace	"(Photo by John Shearer)
Getty Images for TAS Rights Management
At packed concert venues and movie theaters, Taylor Swifts Eras journey captures it all. A walk-back through time in a mere three hour… [+8176 chars]"	2023-10-20T13:16:00Z	P
SSENSE’s Neon New Balances Mean Business	"Brand: SSENSE x New Balance
Model: 1906R
Release Date: October 24
Price: $160
Buy:SSENSE XX
Editors Notes: New Balance has been on an absolute roll with its collaborations lately. In the last we… [+1291 chars]"	2023-10-25T10:55:03Z	
Christopher Nolan Says “The Eras Tour” Concert Film Proves How “Incredibly Valuable” Movie Theaters Are	"Celebrated “Guy Movie” filmmaker Christopher Nolan might’ve just earned himself a new fleet of younger female fans, now that he’s gone on the record praising Taylor Swift. During a recent City Univer… [+1666 chars]"	2023-10-20T18:33:48Z	P
